time;path1;skr1_bps;path2;skr2_bps;path3;skr3_bps;skr_xor_bps
2025-08-31T12:24:00Z;Munich->Sat-08-36->Sat-17-26->Sat-07-36->Sat-16-26->Sat-06-36->Sat-15-26->Sat-05-36->Sat-14-26->NewYork;2891.5787967168826;Munich->Sat-18-27->Sat-07-34->Sat-06-34->Sat-05-34->Sat-15-28->Sat-04-35->Sat-04-36->NewYork;2021.850541016568;Munich->Sat-18-26->Sat-08-37->Sat-17-25->Sat-07-37->Sat-16-25->Sat-06-37->Sat-15-25->Sat-05-37->Sat-14-25->NewYork;10992.254295077966;2021.850541016568
2025-08-31T12:25:00Z;Munich->Sat-08-35->Sat-07-35->Sat-06-35->Sat-15-26->Sat-05-36->Sat-14-25->NewYork;3827.8413495568702;Munich->Sat-18-26->Sat-18-27->Sat-07-34->Sat-06-34->Sat-05-34->Sat-15-27->Sat-14-26->Sat-04-36->NewYork;7225.14989699635;Munich->Sat-08-36->Sat-17-25->Sat-07-36->Sat-16-25->Sat-06-36->Sat-15-25->Sat-05-37->Sat-14-24->NewYork;4161.383344723436;3827.8413495568702
2025-08-31T12:26:00Z;Munich->Sat-08-35->Sat-17-25->Sat-07-35->Sat-16-25->Sat-06-35->Sat-15-25->Sat-05-35->Sat-14-25->NewYork;3242.81691632112;Munich->Sat-18-26->Sat-07-34->Sat-06-34->Sat-05-34->Sat-14-26->Sat-04-35->NewYork;2591.142388083123;Munich->Sat-08-36->Sat-17-24->Sat-07-36->Sat-16-24->Sat-06-36->Sat-15-24->Sat-05-36->Sat-14-24->NewYork;2210.320312984874;2210.320312984874
2025-08-31T12:27:00Z;Munich->Sat-08-34->Sat-07-34->Sat-06-34->Sat-15-25->Sat-05-35->Sat-14-24->NewYork;3686.0002746552136;Munich->Sat-18-25->Sat-18-26->Sat-07-33->Sat-06-33->Sat-05-33->Sat-15-26->Sat-14-25->Sat-04-35->NewYork;8600.690377363;Munich->Sat-08-35->Sat-17-24->Sat-07-35->Sat-16-24->Sat-06-35->Sat-15-24->Sat-05-36->Sat-14-23->NewYork;4613.7583874009815;3686.0002746552136
2025-08-31T12:28:00Z;Munich->Sat-18-25->Sat-07-33->Sat-06-33->Sat-05-33->Sat-05-34->Sat-14-24->NewYork;3012.4101696908538;Munich->Sat-08-34->Sat-17-24->Sat-07-34->Sat-16-24->Sat-06-34->Sat-15-24->Sat-05-35->Sat-14-23->NewYork;6225.633384188139;Munich->Sat-18-24->Sat-08-33->Sat-07-32->Sat-06-32->Sat-05-32->Sat-15-26->Sat-04-33->Sat-04-34->NewYork;2658.7280676724445;2658.7280676724445
2025-08-31T12:29:00Z;Munich->Sat-08-33->Sat-07-33->Sat-06-33->Sat-15-24->Sat-05-34->Sat-14-23->NewYork;3484.116140090963;Munich->Sat-18-24->Sat-18-25->Sat-07-32->Sat-06-32->Sat-05-32->Sat-15-25->Sat-14-24->Sat-04-34->NewYork;10178.494009092652;Munich->Sat-08-34->Sat-17-23->Sat-07-34->Sat-16-23->Sat-06-34->Sat-15-23->Sat-05-35->Sat-14-22->NewYork;3667.696723444304;3484.116140090963
2025-08-31T12:30:00Z;Munich->Sat-08-33->Sat-17-24->Sat-16-24->Sat-15-24->Sat-05-33->Sat-14-23->NewYork;3815.5675269288486;Munich->Sat-18-24->Sat-07-32->Sat-17-25->Sat-16-25->Sat-15-25->Sat-14-24->Sat-04-34->NewYork;3471.2942419228075;Munich->Sat-08-34->Sat-17-23->Sat-07-33->Sat-16-23->Sat-06-33->Sat-15-23->Sat-05-34->Sat-14-22->NewYork;2768.521995455993;2768.521995455993
2025-08-31T12:31:00Z;Munich->Sat-08-32->Sat-07-32->Sat-06-32->Sat-05-32->Sat-05-33->Sat-14-22->NewYork;3239.9193455115596;Munich->Sat-18-23->Sat-18-24->Sat-17-24->Sat-16-24->Sat-15-24->Sat-04-32->Sat-04-33->NewYork;5847.086068755683;Munich->Sat-08-33->Sat-17-23->Sat-07-33->Sat-16-23->Sat-06-33->Sat-15-22->Sat-05-34->Sat-14-21->NewYork;2885.146050565251;2885.146050565251
2025-08-31T12:32:00Z;Munich->Sat-08-32->Sat-17-23->Sat-16-23->Sat-15-23->Sat-05-32->Sat-14-22->NewYork;3988.0688964131264;Munich->Sat-18-23->Sat-07-31->Sat-17-24->Sat-16-24->Sat-15-24->Sat-14-23->Sat-04-33->NewYork;3969.2370464049873;Munich->Sat-08-33->Sat-17-22->Sat-07-33->Sat-16-22->Sat-06-33->Sat-15-22->Sat-05-33->Sat-14-21->NewYork;3442.136022370302;3442.136022370302
2025-08-31T12:33:00Z;Munich->Sat-08-32->Sat-17-22->Sat-07-32->Sat-16-22->Sat-06-32->Sat-15-22->Sat-05-32->Sat-14-21->NewYork;6698.210614368117;Munich->Sat-08-31->Sat-18-23->Sat-17-23->Sat-16-23->Sat-15-23->Sat-04-31->Sat-14-22->NewYork;3824.9984780428267;Munich->Sat-18-21->Sat-08-33->Sat-17-21->Sat-07-33->Sat-16-21->Sat-06-33->Sat-15-21->Sat-05-33->Sat-14-20->NewYork;2254.4281747930563;2254.4281747930563
